method,trial,goal_label,goal_x,goal_y,success,collision,collision_count,costmap_failure,time_s,path_dist_m
rtabmap,1,wp_01,2.184,2.464,1,0,0,0,23.44,3.448
rtabmap,1,wp_02,4.926,0.482,1,0,0,0,26.16,3.415
rtabmap,1,wp_03,0.288,2.887,1,0,0,0,38.95,5.342
rtabmap,1,wp_04,1.05,3.768,1,0,0,0,12.53,0.988
rtabmap,1,wp_05,-4.421,-3.176,1,0,0,0,44.13,8.608
rtabmap,1,wp_06,-1.202,2.176,1,0,0,0,34.14,5.909
rtabmap,1,wp_07,-2.608,2.142,1,0,0,0,12.79,1.39
rtabmap,1,wp_08,-5.116,2.092,1,0,0,0,22.66,2.355
rtabmap,1,wp_09,-1.118,-3.514,1,0,0,0,37.34,6.722
rtabmap,1,wp_10,1.829,-2.04,1,0,0,0,41.89,3.152
rtabmap,2,wp_01,2.184,2.464,1,0,0,0,24.97,4.27
rtabmap,2,wp_02,4.926,0.482,1,0,0,0,25.56,3.406
rtabmap,2,wp_03,0.288,2.887,1,0,0,0,38.3,5.339
rtabmap,2,wp_04,1.05,3.768,1,0,0,0,12.17,0.982
rtabmap,2,wp_05,-4.421,-3.176,1,0,0,0,42.28,8.608
rtabmap,2,wp_06,-1.202,2.176,1,0,0,0,33.82,5.938
rtabmap,2,wp_07,-2.608,2.142,1,0,0,0,12.57,1.404
rtabmap,2,wp_08,-5.116,2.092,0,0,0,1,120.12,2.341
rtabmap,2,wp_09,-1.118,-3.514,1,0,0,0,39.19,6.708
rtabmap,2,wp_10,1.829,-2.04,1,0,0,0,50.86,3.177
rtabmap,3,wp_01,2.184,2.464,1,0,0,0,24.92,4.254
rtabmap,3,wp_02,4.926,0.482,1,0,0,0,25.87,3.413
rtabmap,3,wp_03,0.288,2.887,1,0,0,0,38.06,5.333
rtabmap,3,wp_04,1.05,3.768,1,0,0,0,12.64,0.988
rtabmap,3,wp_05,-4.421,-3.176,1,0,0,0,42.43,8.591
rtabmap,3,wp_06,-1.202,2.176,1,0,0,0,33.62,5.916
rtabmap,3,wp_07,-2.608,2.142,1,0,0,0,12.56,1.392
rtabmap,3,wp_08,-5.116,2.092,1,0,0,0,22.68,2.335
rtabmap,3,wp_09,-1.118,-3.514,1,0,0,0,36.84,6.724
rtabmap,3,wp_10,1.829,-2.04,1,0,0,0,42.54,3.16
sensor_fusion,1,wp_01,2.184,2.464,1,0,0,0,24.95,3.445
sensor_fusion,1,wp_02,4.926,0.482,1,0,0,0,31.14,3.387
sensor_fusion,1,wp_03,0.288,2.887,1,1,1,0,73.81,5.29
sensor_fusion,1,wp_04,1.05,3.768,1,0,0,0,15.59,0.927
sensor_fusion,1,wp_05,-4.421,-3.176,1,0,0,0,77.63,8.561
sensor_fusion,1,wp_06,-1.202,2.176,1,0,0,0,40.14,5.9
sensor_fusion,1,wp_07,-2.608,2.142,1,0,0,0,14.81,1.37
sensor_fusion,1,wp_08,-5.116,2.092,0,1,1,0,54.71,0.23
sensor_fusion,1,wp_09,-1.118,-3.514,1,0,0,0,41.31,5.785
sensor_fusion,1,wp_10,1.829,-2.04,0,1,1,0,120.2,3.154
sensor_fusion,2,wp_01,2.184,2.464,1,0,0,0,39.05,4.256
sensor_fusion,2,wp_02,4.926,0.482,1,0,0,0,29.76,3.407
sensor_fusion,2,wp_03,0.288,2.887,0,1,1,0,68.4,4.209
sensor_fusion,2,wp_04,1.05,3.768,1,1,1,0,24.43,0.681
sensor_fusion,2,wp_05,-4.421,-3.176,1,1,1,0,78.54,8.801
sensor_fusion,2,wp_06,-1.202,2.176,1,0,0,0,40.28,5.923
sensor_fusion,2,wp_07,-2.608,2.142,1,0,0,0,14.91,1.379
sensor_fusion,2,wp_08,-5.116,2.092,1,0,0,0,42.72,2.328
sensor_fusion,2,wp_09,-1.118,-3.514,1,0,0,0,43.47,6.616
sensor_fusion,2,wp_10,1.829,-2.04,1,1,1,0,71.41,3.152
sensor_fusion,3,wp_01,2.184,2.464,1,0,0,0,29.56,4.275
sensor_fusion,3,wp_02,4.926,0.482,1,0,0,0,29.96,3.386
sensor_fusion,3,wp_03,0.288,2.887,0,1,1,0,71.24,4.512
sensor_fusion,3,wp_04,1.05,3.768,1,1,1,0,24.48,0.367
sensor_fusion,3,wp_05,-4.421,-3.176,1,1,1,0,82.25,8.779
sensor_fusion,3,wp_06,-1.202,2.176,1,0,0,0,46.59,5.897
sensor_fusion,3,wp_07,-2.608,2.142,1,0,0,0,15.08,1.362
sensor_fusion,3,wp_08,-5.116,2.092,0,0,0,1,120.16,2.336
sensor_fusion,3,wp_09,-1.118,-3.514,1,0,0,0,45.54,6.621
sensor_fusion,3,wp_10,1.829,-2.04,1,1,1,0,72.22,3.163
lidar_only,1,wp_01,2.184,2.464,1,0,0,0,23.26,3.433
lidar_only,1,wp_02,4.926,0.482,0,1,1,0,52.23,0.751
lidar_only,1,wp_03,0.288,2.887,0,1,2,0,59.57,1.501
lidar_only,1,wp_04,1.05,3.768,0,1,2,0,69.34,0.813
lidar_only,1,wp_05,-4.421,-3.176,0,1,1,0,53.14,0.471
lidar_only,1,wp_06,-1.202,2.176,0,1,1,0,47.21,0.241
lidar_only,1,wp_07,-2.608,2.142,0,1,1,0,34.0,0.05
lidar_only,1,wp_08,-5.116,2.092,1,1,1,0,70.6,5.768
lidar_only,1,wp_09,-1.118,-3.514,0,1,1,0,82.71,5.963
lidar_only,1,wp_10,1.829,-2.04,0,0,0,1,120.25,3.207
lidar_only,2,wp_01,2.184,2.464,1,0,0,0,35.54,4.241
lidar_only,2,wp_02,4.926,0.482,0,1,1,0,54.0,0.957
lidar_only,2,wp_03,0.288,2.887,0,1,1,0,32.03,0.093
lidar_only,2,wp_04,1.05,3.768,0,1,1,0,41.26,0.079
lidar_only,2,wp_05,-4.421,-3.176,0,1,1,0,26.28,0.0
lidar_only,2,wp_06,-1.202,2.176,0,1,1,0,120.12,0.572
lidar_only,2,wp_07,-2.608,2.142,0,1,1,0,26.42,0.046
lidar_only,2,wp_08,-5.116,2.092,0,1,1,0,26.09,0.021
lidar_only,2,wp_09,-1.118,-3.514,0,1,1,0,111.1,0.069
lidar_only,2,wp_10,1.829,-2.04,0,1,1,0,31.09,0.35
lidar_only,3,wp_01,2.184,2.464,0,1,1,0,29.51,0.035
lidar_only,3,wp_02,4.926,0.482,1,0,0,0,17.49,2.252
lidar_only,3,wp_03,0.288,2.887,0,1,1,0,42.05,1.324
lidar_only,3,wp_04,1.05,3.768,0,1,1,0,39.92,0.227
lidar_only,3,wp_05,-4.421,-3.176,0,1,1,0,74.05,0.266
lidar_only,3,wp_06,-1.202,2.176,1,1,1,0,54.15,4.499
lidar_only,3,wp_07,-2.608,2.142,0,1,1,0,37.64,0.439
lidar_only,3,wp_08,-5.116,2.092,1,0,0,0,46.75,3.442
lidar_only,3,wp_09,-1.118,-3.514,0,1,1,0,81.01,5.951
lidar_only,3,wp_10,1.829,-2.04,1,0,0,0,69.99,3.228
